fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-01-04,4 pm,271,GEM,2025-12-20 03:17:39,04/01/2025,16,1,7,10,1,5,0-999,2025,1,4,5,2
2025-02-04,1 pm,10,CAN,2025-12-20 03:28:47,04/02/2025,13,0,1,1,0,3,0-999,2025,2,4,1,33
2025-02-04,10 pm,574,TAU,2025-12-20 03:28:47,04/02/2025,22,4,7,16,0,0,0-999,2025,2,4,1,33
2025-02-04,4 pm,51,TAU,2025-12-20 03:28:47,04/02/2025,16,1,5,6,1,0,0-999,2025,2,4,1,33
2025-03-04,1 pm,588,TAU,2025-12-20 03:38:50,04/03/2025,13,8,8,21,0,0,0-999,2025,3,4,1,61
2025-03-04,10 pm,957,LIB,2025-12-20 03:38:50,04/03/2025,22,7,5,21,1,2,0-999,2025,3,4,1,61
2025-03-04,4 pm,77,SAG,2025-12-20 03:38:50,04/03/2025,16,7,7,14,1,11,0-999,2025,3,4,1,61
2025-04-04,1 pm,352,VIR,2025-12-20 03:49:58,04/04/2025,13,2,5,10,0,6,0-999,2025,4,4,4,92
2025-04-04,10 pm,375,CAN,2025-12-20 03:49:58,04/04/2025,22,5,7,15,1,3,0-999,2025,4,4,4,92
2025-04-04,4 pm,0,ARI,2025-12-20 03:49:58,04/04/2025,16,0,0,0,0,9,0-999,2025,4,4,4,92
2025-05-04,1 pm,10,ARI,2025-12-20 04:00:44,04/05/2025,13,0,1,1,0,9,0-999,2025,5,4,6,122
2025-05-04,10 pm,967,SAG,2025-12-20 04:00:44,04/05/2025,22,7,6,22,1,11,0-999,2025,5,4,6,122
2025-05-04,4 pm,518,PIC,2025-12-20 04:00:44,04/05/2025,16,8,1,14,0,4,0-999,2025,5,4,6,122
2025-06-04,1 pm,860,ARI,2025-12-20 04:11:52,04/06/2025,13,0,6,14,0,9,0-999,2025,6,4,2,153
2025-06-04,10 pm,800,LEO,2025-12-20 04:11:52,04/06/2025,22,0,0,8,0,10,0-999,2025,6,4,2,153
2025-06-04,4 pm,186,ESC,2025-12-20 04:11:52,04/06/2025,16,6,8,15,0,1,0-999,2025,6,4,2,153
2025-07-04,1 pm,637,CAN,2025-12-20 04:22:38,04/07/2025,13,7,3,16,1,3,0-999,2025,7,4,4,183
2025-07-04,10 pm,748,LIB,2025-12-20 04:22:38,04/07/2025,22,8,4,19,0,2,0-999,2025,7,4,4,183
2025-07-04,4 pm,637,ARI,2025-12-20 04:22:38,04/07/2025,16,7,3,16,1,9,0-999,2025,7,4,4,183
2025-08-04,1 pm,684,GEM,2025-12-20 04:33:46,04/08/2025,13,4,8,18,0,5,0-999,2025,8,4,0,214
2025-08-04,10 pm,892,VIR,2025-12-20 04:33:46,04/08/2025,22,2,9,19,0,6,0-999,2025,8,4,0,214
2025-08-04,4 pm,987,LEO,2025-12-20 04:33:46,04/08/2025,16,7,8,24,1,10,0-999,2025,8,4,0,214
2025-09-04,1 pm,906,ACU,2025-12-20 04:44:54,04/09/2025,13,6,0,15,0,8,0-999,2025,9,4,3,245
2025-09-04,10 pm,343,ACU,2025-12-20 04:44:54,04/09/2025,22,3,4,10,1,8,0-999,2025,9,4,3,245
2025-09-04,4 pm,50,CAN,2025-12-20 04:44:54,04/09/2025,16,0,5,5,0,3,0-999,2025,9,4,3,245
2025-10-04,1 pm,597,PIC,2025-12-20 04:55:41,04/10/2025,13,7,9,21,1,4,0-999,2025,10,4,5,275
